,Illust_Left_Left,Illust_Left,Illust_Right_Right,Illust_Right,Illust_Talker,Label_Talker,Text,FaceParts_Left_Left,FaceParts_Left,FaceParts_Right_Right,FaceParts_Right,EffectParts_1_Left_Left,EffectParts_1_Left,EffectParts_1_Right_Right,EffectParts_1_Right,EffectParts_2_Left_Left,EffectParts_2_Left,EffectParts_2_Right_Right,EffectParts_2_Right
 1,"jilga_body_1200X1080","2","3","4","jilga_body_1200X1080","6","よっと！","jilga_faces_surprised","9","10","11","face_shadow","13","14","15","16","17","18","19"
 2,"jilga_body_1200X1080","2","3","4","jilga_body_1200X1080","6","皆さま、WeareTCA にようこそ！","jilga_faces_smile","9","10","11","12","13","14","15","16","17","18","19"
 3,"jilga_body_1200X1080","2","3","4","jilga_body_1200X1080","6","私たちは、UnrealEngine4での自主制作ゲームを制作しました！","jilga_faces_eros","9","10","11","12","13","14","15","16","17","18","19"
 4,"jilga_body_1200X1080","2","3","4","jilga_body_1200X1080","6","このゲームは、敵兵の目をうまくかいくぐり、 倒していきながらゴールを目指すゲームです。","jilga_faces_normal","9","10","11","12","13","14","15","16","17","18","19"
 5,"jilga_body_1200X1080","2","3","4","jilga_body_1200X1080","6","今回は、そのチュートリアルステージをプレイしていただきます。","jilga_faces_normal","9","10","11","12","13","14","15","16","17","18","19"
 6,"jilga_body_1200X1080","2","3","4","jilga_body_1200X1080","6","…さて、さっそく敵があんなところに。","jilga_faces_lookaside","9","10","11","12","13","14","15","character_effect_surprise.png","17","18","19"
 7,"jilga_body_1200X1080","2","3","4","jilga_body_1200X1080","6","敵兵を倒すには、「Bボタン」で繰り出せる攻撃を当てる必要があります。ボタン」で繰り出せる攻撃を当てる必要があります。","jilga_faces_lookaside","9","10","11","12","13","14","15","16","17","18","19"
 8,"jilga_body_1200X1080","2","3","4","jilga_body_1200X1080","6","スティックを倒すことにより歩き操作が。","jilga_faces_displeased","9","10","11","12","13","14","15","16","17","18","19"
 9,"jilga_body_1200X1080","2","3","4","jilga_body_1200X1080","6","加えて、Rキーを押しながら倒すことでダッシュ操作ができます。","jilga_faces_displeased","9","10","11","12","13","14","15","16","17","18","19"
10,"jilga_body_1200X1080","2","3","4","jilga_body_1200X1080","6","ただし、こちらを発見した敵はこちらに攻撃をしかけてきます。","jilga_faces_angry","9","10","11","12","13","14","15","16","17","18","19"
11,"jilga_body_1200X1080","2","3","4","jilga_body_1200X1080","6","効率よく倒すのであれば、うまく隠れながら奇襲攻撃を仕掛けた方が良いかもしれません。","jilga_faces_smile","9","10","11","12","13","14","15","16","17","18","19"
12,"jilga_body_1200X1080","2","3","4","jilga_body_1200X1080","6","さぁ、はじめましょう！","jilga_faces_smile","9","10","11","12","13","14","15","16","17","18","19"
